business_id,item_id,ingredient,ingredient_id
HSC001,HSC001-I001,Fresh Salmon Fillet,ING001
HSC001,HSC001-I001,Sushi Rice,ING014
HSC001,HSC001-I001,Nori Sheet,ING015
HSC001,HSC001-I001,Soy Sauce,ING016
HSC001,HSC001-I002,Fresh Salmon Fillet,ING001
HSC001,HSC001-I002,Mixed Salad Greens,ING008
HSC001,HSC001-I002,Cherry Tomato,ING009
HSC001,HSC001-I002,Sesame Dressing,ING018
HSC001,HSC001-I003,Fresh Salmon Fillet,ING001
HSC001,HSC001-I003,Sushi Rice,ING014
HSC001,HSC001-I003,Spring Onion,ING012
HSC001,HSC001-I003,Soy Sauce,ING016
HSC001,HSC001-I004,Fresh Salmon Fillet,ING001
HSC001,HSC001-I004,Sushi Rice,ING014
HSC001,HSC001-I004,Teriyaki Sauce,ING017
HSC001,HSC001-I004,Sesame Seed,ING025
HSC001,HSC001-I005,Frozen Tuna Loin,ING003
HSC001,HSC001-I005,Sushi Rice,ING014
HSC001,HSC001-I005,Nori Sheet,ING015
HSC001,HSC001-I005,Spicy Mayo,ING019
HSC001,HSC001-I006,Frozen Tuna Loin,ING003
HSC001,HSC001-I006,Sushi Rice,ING014
HSC001,HSC001-I006,Cucumber,ING010
HSC001,HSC001-I006,Sesame Dressing,ING018
HSC001,HSC001-I007,Crab Stick,ING004
HSC001,HSC001-I007,Avocado,ING011
HSC001,HSC001-I007,Sushi Rice,ING014
HSC001,HSC001-I007,Nori Sheet,ING015
HSC001,HSC001-I008,Chicken Breast,ING005
HSC001,HSC001-I008,Panko Breadcrumb,ING028
HSC001,HSC001-I008,Sushi Rice,ING014
HSC001,HSC001-I008,Katsu Sauce,ING020
HSC001,HSC001-I008,Canola Oil,ING031
HSC001,HSC001-I009,Chicken Breast,ING005
HSC001,HSC001-I009,Sushi Rice,ING014
HSC001,HSC001-I009,Teriyaki Sauce,ING017
HSC001,HSC001-I009,Spring Onion,ING012
HSC001,HSC001-I010,Chicken Thigh,ING006
HSC001,HSC001-I010,Potato Starch,ING029
HSC001,HSC001-I010,Canola Oil,ING031
HSC001,HSC001-I011,Chicken Breast,ING005
HSC001,HSC001-I011,Panko Breadcrumb,ING028
HSC001,HSC001-I011,Curry Roux,ING022
HSC001,HSC001-I011,Sushi Rice,ING014
HSC001,HSC001-I011,Canola Oil,ING031
HSC001,HSC001-I012,Chicken Thigh,ING006
HSC001,HSC001-I012,Udon Noodle,ING026
HSC001,HSC001-I012,Dashi Stock,ING023
HSC001,HSC001-I012,Spring Onion,ING012
HSC001,HSC001-I013,Beef Short Rib Sliced,ING007
HSC001,HSC001-I013,Sushi Rice,ING014
HSC001,HSC001-I013,Yakiniku Sauce,ING021
HSC001,HSC001-I013,Sesame Seed,ING025
HSC001,HSC001-I014,Prawn (Peeled),ING002
HSC001,HSC001-I014,Tempura Batter Mix,ING030
HSC001,HSC001-I014,Sushi Rice,ING014
HSC001,HSC001-I014,Canola Oil,ING031
HSC001,HSC001-I015,Mixed Vegetables (IQF),ING032
HSC001,HSC001-I015,Tempura Batter Mix,ING030
HSC001,HSC001-I015,Udon Noodle,ING026
HSC001,HSC001-I015,Dashi Stock,ING023
HSC001,HSC001-I016,Firm Tofu,ING013
HSC001,HSC001-I016,Sushi Rice,ING014
HSC001,HSC001-I016,Teriyaki Sauce,ING017
HSC001,HSC001-I017,Edamame (Frozen),ING033
HSC001,HSC001-I018,Miso Paste,ING024
HSC001,HSC001-I018,Dashi Stock,ING023
HSC001,HSC001-I019,Seaweed Salad Mix,ING027
HSC001,HSC001-I020,Frozen Gyoza,ING034
HSC001,HSC001-I020,Canola Oil,ING031
NON002,NON002-I001,Pizza Dough Base,ING035
NON002,NON002-I001,Mozzarella Cheese,ING036
NON002,NON002-I001,Tomato Sauce (Italian),ING037
NON002,NON002-I002,Pizza Dough Base,ING035
NON002,NON002-I002,Mozzarella Cheese,ING036
NON002,NON002-I002,Pepperoni Slices,ING038
NON002,NON002-I003,Spaghetti Pasta,ING039
NON002,NON002-I003,Beef Mince,ING040
NON002,NON002-I003,Tomato Sauce (Italian),ING037
NON002,NON002-I004,Fettuccine Pasta,ING041
NON002,NON002-I004,Bacon Lardons,ING042
NON002,NON002-I004,Fresh Cream (Italian),ING043
NON002,NON002-I005,Penne Pasta,ING044
NON002,NON002-I005,Tomato Sauce (Italian),ING037
NON002,NON002-I006,Chicken Breast,ING005
NON002,NON002-I006,Mozzarella Cheese,ING036
NON002,NON002-I006,Panko Breadcrumb,ING028
NON002,NON002-I007,Beef Mince,ING040
NON002,NON002-I007,Lasagna Sheet,ING045
NON002,NON002-I007,Mozzarella Cheese,ING036
NON002,NON002-I008,Fresh Tomato (Italian),ING046
NON002,NON002-I008,Mozzarella Cheese,ING036
NON002,NON002-I009,Ciabatta Bread,ING047
NON002,NON002-I009,Garlic Butter,ING048
NON002,NON002-I010,Mascarpone Cheese,ING049
NON002,NON002-I010,Espresso Coffee,ING050
