business_id,week_start,vendor,ingredient,ingredient_id,qty_packs,pack_size,unit,unit_price_number,unit_price_unit,line_total_number,line_total_unit
HSC001,2026-07-06,South Pacific Seafoods NZ,Fresh Salmon Fillet,ING001,47,1.0,kg,34.5,NZD,1621.5,NZD
HSC001,2026-07-06,South Pacific Seafoods NZ,Prawn (Peeled),ING002,7,1.0,kg,28.9,NZD,202.3,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Curry Roux,ING022,2,5.0,kg,15.8,NZD,158.0,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Dashi Stock,ING023,6,10.0,L,9.6,NZD,576.0,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Katsu Sauce,ING020,1,4.0,L,17.9,NZD,71.6,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Miso Paste,ING024,1,5.0,kg,14.2,NZD,71.0,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Nori Sheet,ING015,252,1.0,pkt(100sheets),24.5,NZD,6174.0,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Seaweed Salad Mix,ING027,3,2.0,kg,22.0,NZD,132.0,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Sesame Dressing,ING018,1,4.0,L,19.8,NZD,79.2,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Sesame Seed,ING025,1,1.0,kg,12.9,NZD,12.9,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Soy Sauce,ING016,1,5.0,L,18.9,NZD,94.5,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Spicy Mayo,ING019,1,4.0,L,16.5,NZD,66.0,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Sushi Rice,ING014,23,10.0,kg,42.0,NZD,9660.0,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Teriyaki Sauce,ING017,2,4.0,L,22.4,NZD,179.2,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Udon Noodle,ING026,6,5.0,kg,8.4,NZD,252.0,NZD
HSC001,2026-07-06,Nishi Asian Foods NZ (Fictional),Yakiniku Sauce,ING021,1,4.0,L,20.6,NZD,82.4,NZD
HSC001,2026-07-06,Gilmours,Avocado,ING011,3865,1.0,ea,1.9,NZD,7343.5,NZD
HSC001,2026-07-06,Gilmours,Cherry Tomato,ING009,3,1.0,kg,6.4,NZD,19.2,NZD
HSC001,2026-07-06,Gilmours,Cucumber,ING010,4,1.0,kg,3.8,NZD,15.2,NZD
